startyear,numVotes
1999.0,9735.16569978245
1994.0,9288.54557761733
2001.0,8945.353348003773
2004.0,8889.21455744357
2002.0,8633.58948948949
2003.0,8395.905724864711
1995.0,8270.006426735219
1997.0,8268.591974572904
2000.0,8249.370851864524
1998.0,8026.083945841393
2007.0,7411.254427390791
2006.0,7301.386405388855
2005.0,7206.650046382189
2008.0,6835.528559102675
1993.0,6351.324173265021
1996.0,6062.930102915952
2009.0,6008.945296761196
2010.0,5999.574238391008
2011.0,5880.729688790967
2013.0,5849.709262435677
2014.0,5572.07357821261
2012.0,5543.396233715981
1992.0,5052.921782628468
1990.0,4809.387702818104
2016.0,4471.523149135908
1991.0,4442.738461538462
2015.0,4246.827083565149
1988.0,4160.1115257048095
1989.0,4032.4452998379256
2017.0,3919.536151279199
2019.0,3766.1270945614897
1987.0,3740.4897456931913
1984.0,3707.519256308101
2018.0,3584.727200476853
1986.0,3524.3835383962664
1985.0,3509.4813678211312
2021.0,3239.992823243431
1980.0,3230.3925011865213
2022.0,3077.5122566327045
1982.0,2832.627149321267
2023.0,2685.944101235552
1983.0,2644.9876651982377
1979.0,2573.59352189781
1981.0,2403.745816372682
1975.0,2391.8604427333976
2020.0,2330.57149829185
2024.0,2205.183690451425
1957.0,2136.255880256593
1977.0,2118.2957477305304
1954.0,2114.6572438162543
1972.0,2095.8012048192772
1976.0,2081.674727358938
1974.0,2065.527764815679
1946.0,1959.3753246753247
2025.0,1888.0138082535698
1973.0,1825.6831501831502
1960.0,1822.7579169598873
1968.0,1767.968847352025
1964.0,1748.0555555555557
1978.0,1740.855640535373
1971.0,1713.6534116583823
1962.0,1666.5395077720207
1959.0,1656.4142554693015
1966.0,1639.4171704957678
1939.0,1606.7205588822355
1941.0,1572.8629117959617
1963.0,1541.7080787508487
1950.0,1536.6148582600194
1940.0,1531.575851393189
1942.0,1500.4362139917696
1967.0,1473.0296296296297
1948.0,1467.340206185567
1955.0,1404.680497925311
1953.0,1334.6112531969309
1958.0,1275.0095447870779
1965.0,1267.769700671961
1961.0,1263.0683188211653
1951.0,1245.242451967063
1931.0,1179.5439783491204
1944.0,1163.2544757033247
1952.0,1119.7707948243992
1956.0,1112.8622327790974
1945.0,1057.6192528735633
1927.0,1023.7990074441688
1949.0,1013.4663265306123
1969.0,1006.4916708732964
1925.0,954.2729885057471
1970.0,927.1419897244278
1922.0,917.1155555555556
1947.0,913.7671568627451
1921.0,885.975
1936.0,762.2526829268293
1933.0,758.1582360570687
1932.0,695.5519323671498
1937.0,681.0478424015009
1924.0,675.4307116104869
1943.0,654.096463022508
1928.0,642.7951002227171
1934.0,597.6335616438356
1920.0,594.6666666666666
1938.0,591.3199233716475
1897.0,577.0
1935.0,571.3565656565656
1906.0,553.0
1926.0,535.1231155778894
1930.0,469.37223974763407
1903.0,414.0
1929.0,400.97813121272367
1923.0,384.8473895582329
1904.0,384.0
1915.0,378.7785714285714
1911.0,321.3333333333333
1914.0,267.5238095238095
1919.0,251.6
1913.0,239.2054794520548
1894.0,231.0
1916.0,217.27884615384616
1912.0,129.07142857142858
1918.0,120.40598290598291
1917.0,108.66810344827586
1899.0,89.0
1907.0,75.5
1908.0,59.0
1910.0,47.6
1900.0,46.333333333333336
1905.0,42.0
1909.0,34.5
1896.0,27.0
